"location_name","iso3","pp_cov","sp_cov"
"Kuwait","KWT",0.225048718854755,0.245189068096857
"Kyrgyzstan","KGZ",0.0572719334871555,0.00633880155830489
"Lao People's Democratic Republic","LAO",0.078964260249658,0.00826722757541987
"Latvia","LVA",0.118628876261471,0.16679391889263
"Lebanon","LBN",0.166992535833525,0.0825498154375816
"Lesotho","LSO",0.097864672930122,0.00594368857622154
"Liberia","LBR",0.0452071625358117,0.000197255057614352
"Libya","LBY",0.0608184361513889,0.0438893912027085
"Lithuania","LTU",0.091398229173902,0.16574459451042
"Luxembourg","LUX",0.253430993756165,0.277977273912119
"Madagascar","MDG",0.0326530014325401,0.000172519132919018
"Malawi","MWI",0.0493183009538977,0.000176241545912242
"Malaysia","MYS",0.121427620118976,0.0973729087111186
"Maldives","MDV",0.0799456498414107,0.0477169851791013
"Mali","MLI",0.0755838404699888,0.000425557036616744
"Malta","MLT",0.338566818517401,0.253818836581565
"Marshall Islands","MHL",0.0827947867450973,0.0184952101930666
"Mauritania","MRT",0.0581615365971764,0.00417651172604937
"Mauritius","MUS",0.227367921475422,0.123100672848924
"Mexico","MEX",0.170064906457966,0.0892094064486301
"Micronesia (Federated States of)","FSM",0.0783268026986581,0.00468134380314573
"Mongolia","MNG",0.151339008347382,0.0214801452122337
"Montenegro","MNE",0.151999322577936,0.102204546461617
"Morocco","MAR",0.0583953338742156,0.00985717107292067
"Mozambique","MOZ",0.0379030221243931,0.000145820620757658
"Myanmar","MMR",0.0844981058289355,0.00815564916387797
"Namibia","NAM",0.115090034033993,0.0525689666467398
"Nepal","NPL",0.0401656325967694,0.00250577927402577
"Netherlands","NLD",0.176805471426241,0.212737375876227
"New Zealand","NZL",0.209540115533313,0.202742274314603
"Nicaragua","NIC",0.192749854004073,0.0145364597261281
"Niger","NER",0.0322308975002906,0.0001188292170635
"Nigeria","NGA",0.0610067575245572,0.00675187296670605
"North Macedonia","MKD",0.146681793543879,0.0885076944157763
"Norway","NOR",0.229183688903838,0.248126117696775
"Oman","OMN",0.0803822216014914,0.128927134173587
"Pakistan","PAK",0.063658536592133,0.00714994818476581
"Palestine","PSE",0.102942058272751,0.0103111554367843
"Panama","PAN",0.183606234007246,0.113372731447286
"Papua New Guinea","PNG",0.0560151159863044,0.00335254963303037
"Paraguay","PRY",0.075958967495738,0.0444252047358572
"Peru","PER",0.135552396483452,0.0606415285079634
"Philippines","PHL",0.0971655217535373,0.0109314806682018
